Anio,País,Regiones.economicas,Ocup_TOTAL_ECONOMIA,Ocup_INDUSTRIA
1991,DEU,Developed,38871000,10064000
1992,DEU,Developed,38360000,9316000
1993,DEU,Developed,37863000,8667000
1994,DEU,Developed,37879000,8225000
1995,DEU,Developed,38042000,8037000
1996,DEU,Developed,38057000,7841000
1997,DEU,Developed,38040000,7714000
1998,DEU,Developed,38495000,7768000
1999,DEU,Developed,39120000,7747000
2000,DEU,Developed,39971000,7838000
2001,DEU,Developed,39859000,7855000
2002,DEU,Developed,39666000,7685000
2003,DEU,Developed,39237000,7483000
2004,DEU,Developed,39362000,7368000
2005,DEU,Developed,39311000,7245000
2006,DEU,Developed,39595000,7165000
2007,DEU,Developed,40272000,7274000
2008,DEU,Developed,40838000,7458000
2009,DEU,Developed,40903000,7278000
2010,DEU,Developed,41048000,7140000
2011,DEU,Developed,41544000,7285000
2012,DEU,Developed,42019000,7412000
2013,DEU,Developed,42350000,7436000
2014,DEU,Developed,42721000,7481000
2015,DEU,Developed,43122000,7508000
2016,DEU,Developed,43661000,7530000
2017,DEU,Developed,44262000,7594000
2018,DEU,Developed,44868000,7719000
2019,DEU,Developed,45269000,7758000
2020,DEU,NA,NA,NA
1929,NA,NA,5102743.44440316,NA
1930,NA,NA,5211161.95825392,NA
1931,NA,NA,5240846.59947938,NA
1932,NA,NA,5197015.37141992,NA
1933,NA,NA,5279807.69108778,NA
1934,NA,NA,5503370.14531696,NA
1935,ARG,NA,5575262.63578485,NA
1936,ARG,NA,5719859.30612914,NA
1937,ARG,NA,5902141.55615418,NA
1938,ARG,NA,6062160.32526012,NA
1939,ARG,NA,6167448.03710665,NA
1940,ARG,NA,6286882.33578717,NA
1941,ARG,NA,6420927.04382085,NA
1942,ARG,NA,6565987.53668428,NA
1943,ARG,NA,6706525.75998603,NA
1944,ARG,NA,6824452.63547932,NA
1945,ARG,NA,6942959.28912156,NA
1946,ARG,NA,7082337.95612543,NA
1947,ARG,NA,7267287.18563557,NA
1948,ARG,NA,7463629.4344029,NA
1949,ARG,NA,7639208.00549698,NA
1950,ARG,NA,7774856.42721944,NA
1951,ARG,NA,8070339.53256946,NA
1952,ARG,NA,7880386.10770159,NA
1953,ARG,NA,8142784.23214369,NA
1954,ARG,NA,8250481.54930601,NA
1955,ARG,NA,8404611.92588048,NA
1956,ARG,NA,8480935.55425081,NA
1957,ARG,NA,8651380.24899711,NA
1958,ARG,NA,8833918.07469597,NA
1959,ARG,NA,8712302.24832411,NA
1960,ARG,NA,8746870.3490658309,NA
1961,ARG,NA,8787028.67071958,NA
1962,ARG,NA,8639401.20418563,NA
1963,ARG,NA,8525315.06312385,NA
1964,ARG,NA,8735461.73495965,NA
1965,ARG,NA,8917543.21609426,NA
1966,ARG,NA,8971962.30538073,NA
1967,ARG,NA,9202758.56874871,NA
1968,ARG,NA,9317415.1405158,NA
1969,ARG,NA,9633890.09582119,NA
1970,ARG,Latin American,9822588.57313738,1920551.48577293
1971,ARG,Latin American,10026802.765638,1975238.65535654
1972,ARG,Latin American,10198730.5802181,2037251.84199757
1973,ARG,Latin American,10398609.4993583,2098336.37858907
1974,ARG,Latin American,10767107.7349879,2214830.36813604
1975,ARG,Latin American,11071945.903905,2316053.22353512
1976,ARG,Latin American,11083696.7764343,2306766.7230398
1977,ARG,Latin American,11166637.4009862,2280661.33831404
1978,ARG,Latin American,11149980.8243912,2239078.45276273
1979,ARG,Latin American,11283575.6955746,2228037.83550717
1980,ARG,Latin American,11387736.342364,2200281.51736002
1981,ARG,Latin American,11308524.319745,2098054.59465383
1982,ARG,Latin American,11450753.9269438,2091869.76985308
1983,ARG,Latin American,11329509.6403811,2081021.6543907
1984,ARG,Latin American,11641341.6454066,2153157.33849501
1985,ARG,Latin American,11679654.1408232,2137185.02573585
1986,ARG,Latin American,12064509.0114365,2116515.80324286
1987,ARG,Latin American,12067014.2531312,2128514.55856383
1988,ARG,Latin American,12172829.9811085,2108266.21714204
1989,ARG,Latin American,12430199.5313014,2128408.0946796
1990,ARG,Latin American,12446440.5798587,2422979.26322674
1991,ARG,Latin American,12924178.5473007,2214738.92459277
1992,ARG,Latin American,13117813.2921676,2229963.94110308
1993,ARG,Latin American,13229772.210341001,2084301.7842125
1994,ARG,Latin American,13032363.6283606,1996359.5197048
1995,ARG,Latin American,12650976.4302781,1826075.65654732
1996,ARG,Latin American,12879382.940832,1856025.06031638
1997,ARG,Latin American,13632739.3816417,1962991.38381495
1998,ARG,Latin American,14187407.3076929,1985476.46596608
1999,ARG,Latin American,14321467.6399274,1902022.26095418
2000,ARG,Latin American,14344159.8368021,1863743.42373708
2001,ARG,Latin American,14021452.0024606,1804964.24678065
2002,ARG,Latin American,13241236.2266573,1717438.98575951
2003,ARG,Latin American,13909964.9143927,1890656.26127109
2004,ARG,Latin American,14914171.5238794,2015306.05489496
2005,ARG,Latin American,15786035.1383534,2106765.02258202
2006,ARG,Latin American,16872942.0039526,2178422.86313123
2007,ARG,Latin American,17701422.8306828,2260594.61042652
2008,ARG,Latin American,16561640.4625557,2276185.35303963
2009,ARG,Latin American,16966676.0732285,2199778.66223009
2010,ARG,Latin American,17386801.5559112,2249067.4689526
2011,ARG,Latin American,17996894.7558867,2313751.78645235
2012,ARG,Latin American,18354581.765954,2342393.50940163
2013,ARG,Latin American,18750543.5845708,2383441.08839242
2014,ARG,Latin American,19155754.7491151,2359286.17157015
2015,ARG,Latin American,19486725.2446029,2366762.70351237
2016,ARG,Latin American,20019909.8126906,2334272.19020379
2017,ARG,Latin American,20356860.9614878,2340451.94698534
2018,ARG,Latin American,20554552.4562781,2307470.0799927
2019,ARG,Latin American,20821500,2189223.4400377
2020,ARG,NA,NA,NA
1959,AUS,NA,NA,NA
1960,AUS,NA,NA,NA
1961,AUS,NA,NA,NA
1962,AUS,NA,NA,NA
1963,AUS,NA,NA,NA
1964,AUS,NA,NA,NA
1965,AUS,NA,NA,NA
1966,AUS,NA,NA,NA
1967,AUS,NA,NA,NA
1968,AUS,NA,NA,NA
1969,AUS,NA,NA,NA
1970,AUS,Developed,NA,NA
1971,AUS,Developed,NA,NA
1972,AUS,Developed,NA,NA
1973,AUS,Developed,NA,NA
1974,AUS,Developed,NA,NA
1975,AUS,Developed,NA,1367781.48231713
1976,AUS,Developed,NA,1321308.59797586
1977,AUS,Developed,NA,1295959.75197152
1978,AUS,Developed,NA,1264273.69446611
1979,AUS,Developed,6110624,1263217.49254926
1980,AUS,Developed,6284270,1276948.11746827
1981,AUS,Developed,6416457,1271667.10788404
1982,AUS,Developed,6414892,1280116.72321882
1983,AUS,Developed,6300370,1170271.72386671
1984,AUS,Developed,6493853,1122742.63760858
1985,AUS,Developed,6697425,1133304.65677705
1986,AUS,Developed,6974489,1138884.70797874
1987,AUS,Developed,7128735,1151195.8160496
1988,AUS,Developed,7398242,1186498.71747133
1989,AUS,Developed,7719769,1223419.90454155
1990,AUS,Developed,7858817,1189652.35162882
1991,AUS,Developed,7670535,1114087.51470128
1992,AUS,Developed,7634416,1101111.89808601
1993,AUS,Developed,7653395,1090945.01849939
1994,AUS,Developed,7899284,1124611.42855909
1995,AUS,Developed,8188812,1128897.86267052
1996,AUS,Developed,8298890,1132311.4339603
1997,AUS,Developed,8366658,1150287.55322939
1998,AUS,Developed,8517424,1115465.08035955
1999,AUS,Developed,8672615,1083305.69881001
2000,AUS,Developed,8901733,1142078.79927744
2001,AUS,Developed,9015015,1110592.01770055
2002,AUS,Developed,9190266,1123540.3257455
2003,AUS,Developed,9396537,1104713.59508242
2004,AUS,Developed,9558361,1109752.5320204
2005,AUS,Developed,9880634,1096162.97828723
2006,AUS,Developed,10124228,1086822.43580987
2007,AUS,Developed,10434269,1108813.92634427
2008,AUS,Developed,10731170,1124308
2009,AUS,Developed,10805576,1073259
2010,AUS,Developed,11022243,1061906
2011,AUS,Developed,11213816,1025813
2012,AUS,Developed,11350802,1036098
2013,AUS,Developed,11456709,993554
2014,AUS,Developed,11540162,1004477
2015,AUS,Developed,11766268,971764
2016,AUS,Developed,11973087,981710
2017,AUS,Developed,12252011,961847
2018,AUS,Developed,12584064,1001370
2019,AUS,Developed,12874061,NA
2020,AUS,NA,NA,NA
1950,NA,NA,NA,NA
1951,NA,NA,NA,NA
1955,BEL,NA,NA,NA
1956,BEL,NA,NA,NA
1957,BEL,NA,NA,NA
1958,BEL,NA,NA,NA
1959,BEL,NA,NA,NA
1960,BEL,NA,NA,NA
1961,BEL,NA,NA,NA
1962,BEL,NA,NA,NA
1963,BEL,NA,NA,NA
1964,BEL,NA,NA,NA
1965,BEL,NA,NA,NA
1966,BEL,NA,NA,NA
1967,BEL,NA,NA,NA
1968,BEL,NA,NA,NA
1969,BEL,NA,NA,NA
1970,BEL,Developed,3812087.70975572,1192467.81961979
1971,BEL,Developed,3836481.2183895,1196659.2706553598
1972,BEL,Developed,3828419.84429164,1181989.19203086
1973,BEL,Developed,3861084.1133634797,1141122.54443405
1974,BEL,Developed,3922957.7768937903,1153696.89754076
1975,BEL,Developed,3868098.55576032,1082442.2299360598
1976,BEL,Developed,3850091.33050277,1038431.99406257
1977,BEL,Developed,3835538.97985858,998613.209224656
1978,BEL,Developed,3842448.7290853197,955650.836110059
1979,BEL,Developed,3879300.7249612403,927568.114171737
1980,BEL,Developed,3873817.94364299,909335.302167005
1981,BEL,Developed,3801584.8909310796,859980.966223164
1982,BEL,Developed,3751162.56634654,827916.36580105
1983,BEL,Developed,3712502.51942295,808426.1184856469
1984,BEL,Developed,3706645.98348745,799833.6438627279
1985,BEL,Developed,3727879.85224754,787783.222135463
1986,BEL,Developed,3751993.83011715,776047.159235866
1987,BEL,Developed,3769094.4125216203,756661.6981963529
1988,BEL,Developed,3824801.64833291,751736.743229557
1989,BEL,Developed,3886029.35500369,765778.104198718
1990,BEL,Developed,3940755.6158111403,768712.119923618
1991,BEL,Developed,3946612.1517466498,756347.3393686849
1992,BEL,Developed,3929227.8508512,738114.5273639531
1993,BEL,Developed,3887244.84270858,759034.059482486
1994,BEL,Developed,3849036.02334814,733247.2048488971
1995,BEL,Developed,3868800,677700
1996,BEL,Developed,3879000,666900
1997,BEL,Developed,3905400,657400
1998,BEL,Developed,3973900,656600
